user_id,Total Traffic(MB),Downlink Throughput(Kbps),Uplink Throughput(Kbps),Downlink TCP Retransmission Rate(%),Video Streaming Download Throughput(Kbps),Video Streaming xKB Start Delay(ms),Web Page Download Throughput(Kbps),Web Average TCP RTT(ms),1,3,4
313,209.9937,642.43,30.36,9.86,2029.28,1537,556.8,153,0,0,0
314,218.06343,194.58,54.54,4.16,1203.41,2227,715.96,187,1,0,0
315,181.67576,67.72,26.33,4.26,334.94,1754,495.77,751,0,1,1
316,190.89194,774.06,78.06,2.03,4329.67,1195,2128.6,445,0,0,0
317,685.77101,3667.06,131.53,0.95,3980.7,1874,1849.27,66,0,0,0
318,152.21668,2091.94,45.41,1.53,3154.19,2509,1354.85,152,1,0,0
319,328.69298,929.37,79.18,6.43,4018.92,2214,654.41,106,1,1,1
320,126.71799,73.27,19.98,4.13,250.5,1361,302.52,3141,0,0,1
321,175.4415,380.26,252.56,1.32,11875.29,998,2418.41,54,0,0,0
322,373.99892,1330.76,129.65,1.49,3730.01,1722,1934.26,50,0,0,0
323,171.32078,3710.53,135.58,0.26,18616.73,763,213.89,43,1,0,0
324,582.78281,802.9,69.8,1.13,1969.76,1919,1635.29,58,0,0,0
325,245.39561,3508.29,573.42,2.14,6286.46,1740,1806.12,86,1,0,0
326,216.88906,122.78,64.27,5.52,365.74,2369,418.78,391,1,0,1
327,151.76303,557.51,70.07,1.89,1885.56,1981,1240.38,607,1,1,0
328,304.64734,2841.96,71.06,0.74,8216.98,1286,8899.85,44,0,0,0
329,468.19292,337.52,39.94,4.07,793.56,5574,383.16,195,0,0,0
